workload,provider,durability,rtt_us,serial_rtts,concurrency,op_size,seconds,attempts,successes,errors,success_iops,attempt_iops,mbps,durable_mbps,published_mbps,durable_bytes,published_bytes,p50_us,p90_us,p99_us,p999_us,max_us,samples,stream_append_p50_us,stream_append_p90_us,stream_append_p99_us,stream_append_p999_us,stream_append_max_us,stream_append_samples,stream_publish_p50_us,stream_publish_p90_us,stream_publish_p99_us,stream_publish_p999_us,stream_publish_max_us,stream_publish_samples
native-stream-publish-at-end-4m,durable,ack,700,1,16,4194304,1.616266,2064,2064,0,1277.02,1277.02,5314.68,0.00,5314.68,0,8589934592,3219.382,3401.112,8159.072,1192930.125,1195773.468,2064,3218.084,3392.301,6163.973,9452.538,9943.466,2048,1191834.104,1195325.652,1195773.468,1195773.468,1195773.468,16
native-stream-publish-at-end-4m,durable,ack,700,1,32,4194304,2.774181,4128,4128,0,1488.01,1488.01,6192.77,0.00,6192.77,0,17179869184,5033.078,6594.953,18008.779,2124311.206,2323358.089,4128,5026.921,6541.774,7858.855,18372.023,20744.231,4096,2098021.136,2128568.199,2323358.089,2323358.089,2323358.089,32
native-stream-publish-at-end-4m,durable,ack,700,1,64,4194304,5.225442,8256,8256,0,1579.96,1579.96,6575.47,0.00,6575.47,0,34359738368,8035.596,10802.658,65820.253,4408292.800,4569805.357,8256,8008.852,10729.750,20828.955,109427.862,134974.948,8192,4033133.068,4422507.742,4558746.846,4569805.357,4569805.357,64
native-stream-publish-at-end-32m,durable,ack,700,1,16,33554432,1.754440,272,272,0,155.04,155.04,4896.11,0.00,4896.11,0,8589934592,45370.180,48284.016,1028054.668,1064754.539,1064754.539,272,45185.466,47235.319,48922.845,50780.528,50780.528,256,1026625.016,1030922.201,1064754.539,1064754.539,1064754.539,16
native-stream-publish-at-end-32m,durable,ack,700,1,32,33554432,3.350900,544,544,0,162.34,162.34,5126.94,0.00,5126.94,0,17179869184,81780.425,94973.697,2162694.810,2206491.907,2207025.861,544,79557.011,92766.340,104970.697,109960.985,113313.800,512,2056674.591,2204143.346,2207025.861,2207025.861,2207025.861,32
native-stream-publish-at-end-32m,durable,ack,700,1,64,33554432,5.671705,1088,1088,0,191.83,191.83,6058.10,0.00,6058.10,0,34359738368,100966.794,142462.195,4560383.130,4621578.739,4666767.956,1088,96435.801,131834.285,172361.277,216221.580,226886.726,1024,3922315.835,4564542.881,4621578.739,4666767.956,4666767.956,64
native-stream-publish-barrier-at-end-4m,durable,ack,700,1,16,4194304,1.643692,2064,2064,0,1255.71,1255.71,5226.00,0.00,5226.00,0,8589934592,3743.509,4479.007,6675.064,1135910.153,1135911.160,2064,3741.351,4441.893,5619.405,6716.006,6835.664,2048,1135885.984,1135910.912,1135911.160,1135911.160,1135911.160,16
native-stream-publish-barrier-at-end-4m,durable,ack,700,1,32,4194304,3.137824,4128,4128,0,1315.56,1315.56,5475.09,0.00,5475.09,0,17179869184,5746.706,7771.219,10858.326,2267672.491,2267686.657,4128,5726.978,7741.577,9049.614,11343.146,11958.120,4096,2267627.077,2267676.655,2267686.657,2267686.657,2267686.657,32
native-stream-publish-barrier-at-end-4m,durable,ack,700,1,64,4194304,5.818150,8256,8256,0,1419.01,1419.01,5905.61,0.00,5905.61,0,34359738368,8639.896,11133.603,33012.762,4541664.039,4541779.312,8256,8621.221,11056.075,16838.047,43252.973,60465.927,8192,4541162.485,4541700.226,4541761.184,4541779.312,4541779.312,64
native-stream-publish-barrier-at-end-32m,durable,ack,700,1,16,33554432,1.869022,272,272,0,145.53,145.53,4595.95,0.00,4595.95,0,8589934592,45539.001,48416.588,1137702.517,1137738.272,1137738.272,272,45429.953,47746.624,49036.051,49351.960,49351.960,256,1137698.794,1137710.464,1137738.272,1137738.272,1137738.272,16
native-stream-publish-barrier-at-end-32m,durable,ack,700,1,32,33554432,3.573724,544,544,0,152.22,152.22,4807.27,0.00,4807.27,0,17179869184,76151.488,95033.602,2268395.791,2268409.279,2268416.193,544,74319.749,92748.848,97990.920,99602.442,100460.249,512,2268367.341,2268403.571,2268416.193,2268416.193,2268416.193,32
native-stream-publish-barrier-at-end-32m,durable,ack,700,1,64,33554432,6.456419,1088,1088,0,168.51,168.51,5321.80,0.00,5321.80,0,34359738368,107061.064,159963.819,4540123.787,4540283.898,4540297.558,1088,106039.130,135266.398,184615.903,242030.092,256369.290,1024,4539829.217,4540183.746,4540283.898,4540297.558,4540297.558,64
native-stream-publish-interval-4m,durable,ack,700,1,16,4194304,1.429221,2112,2112,0,1477.73,1477.73,6010.22,0.00,6010.22,0,8589934592,3335.492,4147.962,217961.233,362578.094,449829.547,2112,3304.450,3976.904,5751.657,6386.619,6781.490,2048,214360.906,285595.236,373937.213,449829.547,449829.547,64
native-stream-publish-interval-4m,durable,ack,700,1,32,4194304,2.741223,4224,4224,0,1540.92,1540.92,6267.23,0.00,6267.23,0,17179869184,5287.185,7538.219,550339.317,643126.386,696164.619,4224,5241.060,7386.444,8923.351,11106.777,12097.354,4096,532050.043,599468.402,656686.173,696164.619,696164.619,128
native-stream-publish-interval-4m,durable,ack,700,1,64,4194304,5.092148,8448,8448,0,1659.02,1659.02,6747.59,0.00,6747.59,0,34359738368,6845.921,11893.281,1122911.905,1234364.566,1270239.472,8448,6682.179,11413.555,20880.012,47099.264,67467.694,8192,1063309.188,1177758.184,1247289.732,1270239.472,1270239.472,256
native-stream-publish-interval-32m,durable,ack,700,1,16,33554432,1.670658,320,320,0,191.54,191.54,5141.65,0.00,5141.65,0,8589934592,45082.894,277190.959,319530.755,388214.532,388214.532,320,44581.040,47583.802,57264.153,60745.211,60745.211,256,280052.362,289118.254,386716.178,388214.532,388214.532,64
native-stream-publish-interval-32m,durable,ack,700,1,32,33554432,3.163750,640,640,0,202.29,202.29,5430.22,0.00,5430.22,0,17179869184,74495.735,510707.625,802342.417,843398.725,851618.365,640,68485.559,92291.796,99061.698,102690.188,104172.738,512,515266.726,771006.370,843398.725,851618.365,851618.365,128
native-stream-publish-interval-32m,durable,ack,700,1,64,33554432,5.559942,1280,1280,0,230.22,230.22,6179.87,0.00,6179.87,0,34359738368,85833.535,1023905.135,1224349.143,1263084.931,1264608.273,1280,74141.595,127652.453,211691.409,244374.256,261039.941,1024,1025341.745,1168695.823,1258858.967,1264608.273,1264608.273,256
