storage_nodes,rtt_us,workload,concurrency,op_size,durable_rows,file_sync_p50_ms,file_sync_p99_ms,file_sync_sum_ms,sync_bytes_gib,root_commit_p99_ms,node_catalog_p99_ms,persist_lock_wait_p99_ms
16,3600,native-stream-publish-barrier-at-end-4m,16,4194304,1,1121.526016,1121.526016,1121.526016,8.0,1.556304,2.309087,0.00075
16,3600,native-stream-publish-barrier-at-end-4m,32,4194304,1,2242.932098,2242.932098,2242.932098,16.0,2.514122,3.481907,0.001078
16,3600,native-stream-publish-barrier-at-end-4m,64,4194304,2,66.986857,4421.935801,4488.922658,32.0,2.819853,3.597956,0.000687
16,3600,native-stream-publish-barrier-at-end-32m,16,33554432,1,1122.195569,1122.195569,1122.195569,8.0,1.480923,2.709628,0.000699
16,3600,native-stream-publish-barrier-at-end-32m,32,33554432,1,2244.818343,2244.818343,2244.818343,16.0,2.134704,2.770669,0.000531
16,3600,native-stream-publish-barrier-at-end-32m,64,33554432,1,4493.361716,4493.361716,4493.361716,32.0,2.678235,3.301113,0.000548
16,3600,native-stream-publish-interval-4m,16,4194304,15,51.098455,226.023603,1102.659869,8.0,0.964337,1.915669,0.000317
16,3600,native-stream-publish-interval-4m,32,4194304,15,104.512813,455.66517,2231.363497,16.0,1.288272,2.117974,0.000495
16,3600,native-stream-publish-interval-4m,64,4194304,15,156.553557,911.609015,4469.539644,32.0,5.010129,2.393962,0.000924
16,3600,native-stream-publish-interval-32m,16,33554432,13,49.513498,244.292521,1099.697767,8.0,1.053581,2.70982,0.00057
16,3600,native-stream-publish-interval-32m,32,33554432,18,50.813491,401.148322,2254.269312,16.0,1.19895,2.28428,0.000951
16,3600,native-stream-publish-interval-32m,64,33554432,14,209.11508,928.244566,4552.641,32.0,4.896896,6.242395,0.001038
16,700,native-stream-publish-at-end-4m,16,4194304,2,69.885626,1052.512177,1122.397803,8.0,1.576465,2.957881,0.000752
16,700,native-stream-publish-at-end-4m,32,4194304,3,694.975795,1471.996772,2236.853432,16.0,1.704812,2.45427,0.00083
16,700,native-stream-publish-at-end-4m,64,4194304,4,279.567378,2666.589396,4487.136255,32.0,5.16931,3.313794,0.001425
16,700,native-stream-publish-at-end-32m,16,33554432,3,69.942097,981.133981,1119.960927,8.0,1.54719,2.800339,0.000696
16,700,native-stream-publish-at-end-32m,32,33554432,4,82.067157,1471.414722,2265.909867,16.0,2.112265,2.459052,0.000772
16,700,native-stream-publish-at-end-32m,64,33554432,4,404.381509,2384.299792,4590.165659,32.0,2.392708,16.999858,0.000829
16,700,native-stream-publish-barrier-at-end-4m,16,4194304,1,1122.720318,1122.720318,1122.720318,8.0,1.456783,3.064519,0.000626
16,700,native-stream-publish-barrier-at-end-4m,32,4194304,1,2245.594924,2245.594924,2245.594924,16.0,2.259923,2.484805,0.000935
16,700,native-stream-publish-barrier-at-end-4m,64,4194304,2,419.548679,4071.045485,4490.594164,32.0,2.946983,4.260842,0.000825
16,700,native-stream-publish-barrier-at-end-32m,16,33554432,1,1122.224246,1122.224246,1122.224246,8.0,1.622404,2.347663,0.000738
16,700,native-stream-publish-barrier-at-end-32m,32,33554432,1,2245.490579,2245.490579,2245.490579,16.0,2.469066,2.843981,0.00086
16,700,native-stream-publish-barrier-at-end-32m,64,33554432,1,4492.378424,4492.378424,4492.378424,32.0,2.945582,3.180928,0.001076
16,700,native-stream-publish-interval-4m,16,4194304,11,85.170791,244.595907,1104.377468,8.0,1.000378,1.983359,0.000661
16,700,native-stream-publish-interval-4m,32,4194304,18,35.064092,454.820153,2226.968837,16.0,1.135767,3.461962,0.00087
16,700,native-stream-publish-interval-4m,64,4194304,15,174.414871,943.722824,4475.891041,32.0,5.393127,2.481493,0.001248
16,700,native-stream-publish-interval-32m,16,33554432,11,34.076734,260.668497,1112.536407,8.0,1.32953,2.489025,0.000998
16,700,native-stream-publish-interval-32m,32,33554432,14,67.722294,418.814415,2279.607531,16.0,1.86192,5.028166,0.00162
16,700,native-stream-publish-interval-32m,64,33554432,15,214.737812,891.701905,4559.746149,32.0,5.187366,9.201288,0.001445
4,0,native-stream-publish-at-end-4m,16,4194304,2,276.563948,840.148736,1116.712684,8.0,1.448317,2.088288,0.00101
4,0,native-stream-publish-at-end-4m,32,4194304,2,68.849493,2173.994682,2242.844175,16.0,2.4293,2.499618,0.000607
4,0,native-stream-publish-at-end-4m,64,4194304,3,1120.36782,3299.465135,4490.900007,32.0,2.766346,2.861614,0.005341
4,0,native-stream-publish-at-end-32m,16,33554432,2,69.509798,1051.800191,1121.309989,8.0,1.564989,2.102786,0.000659
4,0,native-stream-publish-at-end-32m,32,33554432,4,155.748544,1191.146989,2262.901282,16.0,1.746808,4.790804,0.000927
4,0,native-stream-publish-at-end-32m,64,33554432,4,409.029298,2665.575667,4599.834622,32.0,8.66449,22.950102,0.001053
4,0,native-stream-publish-barrier-at-end-4m,16,4194304,1,1122.424374,1122.424374,1122.424374,8.0,1.607017,2.113138,0.000654
4,0,native-stream-publish-barrier-at-end-4m,32,4194304,1,2244.935025,2244.935025,2244.935025,16.0,2.43858,2.805998,0.000754
4,0,native-stream-publish-barrier-at-end-4m,64,4194304,1,4492.730527,4492.730527,4492.730527,32.0,2.634477,3.579392,0.000835
4,0,native-stream-publish-barrier-at-end-32m,16,33554432,1,1120.798958,1120.798958,1120.798958,8.0,1.728272,1.851188,0.000656
4,0,native-stream-publish-barrier-at-end-32m,32,33554432,1,2245.152426,2245.152426,2245.152426,16.0,2.111749,2.647034,0.000735
4,0,native-stream-publish-barrier-at-end-32m,64,33554432,1,4491.088657,4491.088657,4491.088657,32.0,2.937362,3.563436,0.000755
4,0,native-stream-publish-interval-4m,16,4194304,11,51.756256,225.87032,1100.396654,8.0,1.03821,1.9643,0.000663
4,0,native-stream-publish-interval-4m,32,4194304,15,85.314958,455.892047,2227.393724,16.0,1.874831,2.088001,0.000909
4,0,native-stream-publish-interval-4m,64,4194304,17,156.668093,908.982345,4465.580925,32.0,4.442485,3.890853,0.001089
4,0,native-stream-publish-interval-32m,16,33554432,11,50.872471,259.264908,1110.637619,8.0,1.194739,1.909378,0.000781
4,0,native-stream-publish-interval-32m,32,33554432,17,50.273667,402.006842,2273.867854,16.0,1.197833,3.871888,0.000927
4,0,native-stream-publish-interval-32m,64,33554432,15,180.590222,946.941452,4520.923646,32.0,5.605669,10.789655,0.001223
4,200,native-stream-publish-at-end-4m,16,4194304,2,136.277113,981.32517,1117.602283,8.0,1.817266,1.85442,0.000557
4,200,native-stream-publish-at-end-4m,32,4194304,2,137.038097,2102.203755,2239.241852,16.0,2.71053,2.533594,0.001154
