storage_nodes,rtt_us,workload,concurrency,op_size,tickets,total_p50_ms,total_p99_ms,coord_wait_p99_ms,persist_batch_p99_ms,cvar_waits_sum,max_batch_ticket_count
16,3600,native-stream-publish-interval-4m,16,4194304,64,196.463581,340.301199,340.299348,231.339362,111,13
16,3600,native-stream-publish-interval-4m,32,4194304,128,525.236525,656.537663,635.268786,392.192505,299,26
16,3600,native-stream-publish-interval-4m,64,4194304,256,1033.29685,1198.051082,1197.97089,818.111187,607,59
16,3600,native-stream-publish-interval-32m,16,33554432,64,254.961301,326.665534,326.663078,250.730952,115,14
16,3600,native-stream-publish-interval-32m,32,33554432,128,540.208434,679.307944,679.304771,374.996968,294,27
16,3600,native-stream-publish-interval-32m,64,33554432,256,974.432289,1208.045751,1207.578148,745.116211,564,59
16,700,native-stream-publish-at-end-4m,16,4194304,16,1165.339051,1181.762643,1181.760725,1108.193932,29,15
16,700,native-stream-publish-at-end-4m,32,4194304,32,2080.291021,2265.900116,2264.028864,1486.980161,67,23
16,700,native-stream-publish-at-end-4m,64,4194304,64,4114.746828,4518.432525,4517.621013,2694.050465,142,56
16,700,native-stream-publish-at-end-32m,16,33554432,16,1039.54022,1052.651245,1041.644554,993.761519,27,14
16,700,native-stream-publish-at-end-32m,32,33554432,32,1991.795953,2211.568847,2211.47088,1487.840609,64,26
16,700,native-stream-publish-at-end-32m,64,33554432,64,4004.88666,4633.666503,4633.644391,2408.339122,150,45
16,700,native-stream-publish-barrier-at-end-4m,16,4194304,16,1136.630778,1136.668082,1136.663935,1135.528838,15,16
16,700,native-stream-publish-barrier-at-end-4m,32,4194304,32,2267.751697,2267.841115,2267.836839,2266.622629,31,32
16,700,native-stream-publish-barrier-at-end-4m,64,4194304,64,4578.532095,4579.461293,4579.456274,4149.928635,118,58
16,700,native-stream-publish-barrier-at-end-32m,16,33554432,16,1136.668001,1136.727192,1136.688391,1135.565735,15,16
16,700,native-stream-publish-barrier-at-end-32m,32,33554432,32,2271.324151,2271.38149,2271.366848,2270.211372,31,32
16,700,native-stream-publish-barrier-at-end-32m,64,33554432,64,4538.470447,4538.615391,4538.613796,4537.31215,63,64
16,700,native-stream-publish-interval-4m,16,4194304,64,271.350066,342.221554,342.219797,250.061325,113,14
16,700,native-stream-publish-interval-4m,32,4194304,128,542.920535,664.478976,664.440961,372.615548,286,27
16,700,native-stream-publish-interval-4m,64,4194304,256,1029.940411,1215.185716,1214.899293,837.941411,565,64
16,700,native-stream-publish-interval-32m,16,33554432,64,282.099517,326.676673,326.605774,267.303833,120,15
16,700,native-stream-publish-interval-32m,32,33554432,128,498.89964,618.327375,618.273177,391.663023,262,26
16,700,native-stream-publish-interval-32m,64,33554432,256,1044.736611,1276.227315,1276.219941,659.42193,609,56
4,0,native-stream-publish-at-end-4m,16,4194304,16,1181.295493,1183.766852,1183.764297,889.748844,26,12
4,0,native-stream-publish-at-end-4m,32,4194304,32,2285.772032,2302.129273,2300.599129,2225.68685,62,32
4,0,native-stream-publish-at-end-4m,64,4194304,64,4097.094221,4566.878056,4565.434852,3332.071158,139,63
4,0,native-stream-publish-at-end-32m,16,33554432,16,1080.141165,1104.795527,1104.757031,1064.374916,29,15
4,0,native-stream-publish-at-end-32m,32,33554432,32,1991.828478,2230.416974,2230.41313,1204.77432,69,23
4,0,native-stream-publish-at-end-32m,64,33554432,64,3894.834682,4674.793052,4674.762231,2692.233571,150,41
4,0,native-stream-publish-barrier-at-end-4m,16,4194304,16,1135.82814,1135.845633,1135.844109,1134.72191,15,16
4,0,native-stream-publish-barrier-at-end-4m,32,4194304,32,2267.615653,2267.662347,2267.660139,2266.495146,31,32
4,0,native-stream-publish-barrier-at-end-4m,64,4194304,64,4554.987944,4555.36771,4555.364678,4553.790148,63,64
4,0,native-stream-publish-barrier-at-end-32m,16,33554432,16,1134.804798,1134.828024,1134.826099,1133.70073,15,16
4,0,native-stream-publish-barrier-at-end-32m,32,33554432,32,2269.453411,2269.531777,2269.504066,2268.270751,31,32
4,0,native-stream-publish-barrier-at-end-32m,64,33554432,64,4536.998813,4537.268029,4537.263597,4535.786213,63,64
4,0,native-stream-publish-interval-4m,16,4194304,64,281.667094,340.914256,340.912095,231.174807,110,13
4,0,native-stream-publish-interval-4m,32,4194304,128,509.920922,874.740646,874.651788,390.865037,264,29
4,0,native-stream-publish-interval-4m,64,4194304,256,1000.634554,1878.530639,1878.447614,589.49364,711,63
4,0,native-stream-publish-interval-32m,16,33554432,64,277.353888,309.209244,309.20729,265.032433,118,15
4,0,native-stream-publish-interval-32m,32,33554432,128,536.583779,685.12492,685.056768,373.697674,296,25
4,0,native-stream-publish-interval-32m,64,33554432,256,1048.130321,1206.086656,1205.938303,711.484286,625,61
4,200,native-stream-publish-at-end-4m,16,4194304,16,1198.347384,1204.802347,1202.646505,1065.885222,28,14
4,200,native-stream-publish-at-end-4m,32,4194304,32,2272.669856,2286.309523,2286.292775,2140.600111,61,31
4,200,native-stream-publish-at-end-4m,64,4194304,64,4440.711074,4543.310825,4542.732784,3046.019081,144,63
4,200,native-stream-publish-at-end-32m,16,33554432,16,1108.890659,1139.491197,1139.489291,992.914377,29,14
4,200,native-stream-publish-at-end-32m,32,33554432,32,1958.410386,2092.994991,2092.992897,1489.924718,69,22
4,200,native-stream-publish-at-end-32m,64,33554432,64,3886.305104,4599.020323,4598.872282,3045.164435,141,47
4,200,native-stream-publish-barrier-at-end-4m,16,4194304,16,1135.425974,1135.44126,1135.439778,1134.327604,15,16
4,200,native-stream-publish-barrier-at-end-4m,32,4194304,32,2267.943098,2268.001518,2267.985097,2266.838009,31,32
4,200,native-stream-publish-barrier-at-end-4m,64,4194304,64,4569.908103,4570.090358,4570.04982,4568.715658,63,64
4,200,native-stream-publish-barrier-at-end-32m,16,33554432,16,1136.304231,1136.349449,1136.330106,1135.189773,15,16
4,200,native-stream-publish-barrier-at-end-32m,32,33554432,32,2268.728879,2268.801885,2268.782441,2267.602142,31,32
4,200,native-stream-publish-barrier-at-end-32m,64,33554432,64,4539.864588,4540.036505,4539.971401,4538.662745,63,64
4,200,native-stream-publish-interval-4m,16,4194304,64,250.505027,322.061274,322.018707,265.560918,113,15
4,200,native-stream-publish-interval-4m,32,4194304,128,523.447999,630.141549,630.041641,391.673503,287,26
4,200,native-stream-publish-interval-4m,64,4194304,256,1059.895306,1177.481999,1176.932234,816.186826,569,64
4,200,native-stream-publish-interval-32m,16,33554432,64,276.762521,314.190428,314.18819,266.440878,114,15
4,200,native-stream-publish-interval-32m,32,33554432,128,478.821222,755.045387,755.042562,355.969082,292,27
4,200,native-stream-publish-interval-32m,64,33554432,256,1046.787873,1305.87725,1305.858161,568.213635,712,49
4,3600,native-stream-publish-at-end-4m,16,4194304,16,1174.950986,1178.446758,1178.410294,1109.582486,29,15
4,3600,native-stream-publish-at-end-4m,32,4194304,32,2287.756899,2301.02221,2298.600813,2229.11474,62,32
4,3600,native-stream-publish-at-end-4m,64,4194304,64,4477.94612,4579.563419,4565.725464,4434.283783,134,63
4,3600,native-stream-publish-at-end-32m,16,33554432,16,1069.616335,1071.659001,1071.488523,1063.476936,29,15
4,3600,native-stream-publish-at-end-32m,32,33554432,32,1951.974429,2068.201834,2068.003097,1135.589548,65,16
4,3600,native-stream-publish-at-end-32m,64,33554432,64,3883.877928,4679.16641,4679.139181,3123.337575,141,51
4,3600,native-stream-publish-barrier-at-end-4m,16,4194304,16,1134.842289,1134.88509,1134.881239,1133.742567,15,16
4,3600,native-stream-publish-barrier-at-end-4m,32,4194304,32,2197.745956,2268.752078,2268.721859,2196.600182,40,31
4,3600,native-stream-publish-barrier-at-end-4m,64,4194304,64,4537.97419,4538.384755,4538.357947,4536.966466,63,64
4,3600,native-stream-publish-barrier-at-end-32m,16,33554432,16,1136.002218,1136.032411,1136.030622,1134.910924,15,16
4,3600,native-stream-publish-barrier-at-end-32m,32,33554432,32,2269.801437,2269.862162,2269.837976,2268.675146,31,32
4,3600,native-stream-publish-barrier-at-end-32m,64,33554432,64,4538.900341,4539.054477,4539.042552,4537.731328,63,64
4,3600,native-stream-publish-interval-4m,16,4194304,64,160.717329,323.839637,323.800551,248.568129,102,14
4,3600,native-stream-publish-interval-4m,32,4194304,128,485.046194,710.592071,710.549059,355.781204,293,24
4,3600,native-stream-publish-interval-4m,64,4194304,256,1040.594031,1180.555937,1180.021891,816.33312,600,64
4,3600,native-stream-publish-interval-32m,16,33554432,64,210.30572,379.44215,379.430769,230.863005,113,13
4,3600,native-stream-publish-interval-32m,32,33554432,128,466.924572,642.633051,642.628614,356.305412,302,29
4,3600,native-stream-publish-interval-32m,64,33554432,256,960.316348,1216.537596,1216.447209,782.275692,592,58
4,700,native-stream-publish-at-end-4m,16,4194304,16,1190.714302,1194.769317,1194.620986,1121.475902,29,15
4,700,native-stream-publish-at-end-4m,32,4194304,32,2096.956759,2322.654379,2316.352393,1896.368599,63,27
4,700,native-stream-publish-at-end-4m,64,4194304,64,4030.310496,4568.293203,4568.287553,3848.620856,129,55
4,700,native-stream-publish-at-end-32m,16,33554432,16,1025.756982,1064.048989,1064.047493,991.672612,27,14
4,700,native-stream-publish-at-end-32m,32,33554432,32,2048.703602,2206.322606,2206.318646,1347.428797,67,26
4,700,native-stream-publish-at-end-32m,64,33554432,64,3911.589392,4665.573723,4665.57043,2763.111915,148,42
4,700,native-stream-publish-barrier-at-end-4m,16,4194304,16,1135.17883,1135.205096,1135.203523,1134.077263,15,16
4,700,native-stream-publish-barrier-at-end-4m,32,4194304,32,2266.898839,2266.975551,2266.973929,2265.790868,31,32
4,700,native-stream-publish-barrier-at-end-4m,64,4194304,64,4539.906307,4541.075208,4541.072335,4539.063302,63,64
4,700,native-stream-publish-barrier-at-end-32m,16,33554432,16,1136.990602,1137.024455,1137.020033,1135.879112,15,16
4,700,native-stream-publish-barrier-at-end-32m,32,33554432,32,2267.639963,2267.701838,2267.686864,2266.508425,31,32
4,700,native-stream-publish-barrier-at-end-32m,64,33554432,64,4538.915135,4539.058779,4539.024612,4537.717293,63,64
4,700,native-stream-publish-interval-4m,16,4194304,64,213.567577,449.124931,449.119962,213.060391,107,12
4,700,native-stream-publish-interval-4m,32,4194304,128,530.688388,655.945605,655.942999,425.801374,291,30
4,700,native-stream-publish-interval-4m,64,4194304,256,1061.063612,1253.924652,1252.850309,604.046302,669,53
4,700,native-stream-publish-interval-32m,16,33554432,64,276.488203,387.511674,387.509152,250.144044,115,14
4,700,native-stream-publish-interval-32m,32,33554432,128,510.002844,842.691763,842.687666,319.742985,284,28
4,700,native-stream-publish-interval-32m,64,33554432,256,1023.202196,1259.572334,1258.149684,783.328233,605,59
