storage_nodes,rtt_us_effective,workload,concurrency,op_size,seconds,published_mbps,stream_append_p50_us,stream_append_p99_us,stream_publish_p50_us,stream_publish_p99_us,published_bytes,artifact
16,3600,native-stream-publish-at-end-32m,16,33554432,1.810814,4743.69,46324.944,50486.168,1065788.990,1069595.322,8589934592,native-s16-rtt3600/matrix.csv
16,3600,native-stream-publish-at-end-32m,32,33554432,3.295090,5213.78,78144.822,97272.263,2012410.048,2144126.429,17179869184,native-s16-rtt3600/matrix.csv
16,3600,native-stream-publish-at-end-32m,64,33554432,5.771704,5953.14,89948.498,196736.821,4176377.262,4631356.132,34359738368,native-s16-rtt3600/matrix.csv
16,3600,native-stream-publish-barrier-at-end-4m,16,4194304,1.974903,4349.55,6491.867,7227.628,1138438.086,1138488.056,8589934592,native-s16-rtt3600/matrix.csv
16,3600,native-stream-publish-barrier-at-end-4m,32,4194304,3.377576,5086.45,8063.427,10197.517,2270840.304,2270888.011,17179869184,native-s16-rtt3600/matrix.csv
16,3600,native-stream-publish-barrier-at-end-4m,64,4194304,6.132353,5603.03,10128.686,26805.990,4470253.413,4538402.348,34359738368,native-s16-rtt3600/matrix.csv
16,3600,native-stream-publish-barrier-at-end-32m,16,33554432,1.888985,4547.38,46441.571,50649.760,1140451.939,1140482.660,8589934592,native-s16-rtt3600/matrix.csv
16,3600,native-stream-publish-barrier-at-end-32m,32,33554432,3.608846,4760.49,80649.032,105218.167,2273601.096,2274111.371,17179869184,native-s16-rtt3600/matrix.csv
16,3600,native-stream-publish-barrier-at-end-32m,64,33554432,6.366317,5397.11,98352.292,200144.100,4541473.328,4541570.569,34359738368,native-s16-rtt3600/matrix.csv
16,3600,native-stream-publish-interval-4m,16,4194304,1.693322,5072.83,6360.763,7670.337,200133.993,343790.699,8589934592,native-s16-rtt3600/matrix.csv
16,3600,native-stream-publish-interval-4m,32,4194304,3.006465,5714.31,7666.513,10280.618,529033.140,660141.344,17179869184,native-s16-rtt3600/matrix.csv
16,3600,native-stream-publish-interval-4m,64,4194304,5.403377,6358.94,10008.647,15236.909,1037164.789,1200748.343,34359738368,native-s16-rtt3600/matrix.csv
16,3600,native-stream-publish-interval-32m,16,33554432,1.668339,5148.80,45592.195,50184.882,258635.378,328347.384,8589934592,native-s16-rtt3600/matrix.csv
16,3600,native-stream-publish-interval-32m,32,33554432,3.158657,5438.98,72918.242,98097.693,544217.831,682923.569,17179869184,native-s16-rtt3600/matrix.csv
16,3600,native-stream-publish-interval-32m,64,33554432,5.567630,6171.34,94483.389,146051.198,981327.856,1210953.301,34359738368,native-s16-rtt3600/matrix.csv
16,700,native-stream-publish-at-end-4m,16,4194304,1.606375,5347.40,3294.358,4820.543,1169529.163,1182490.472,8589934592,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-at-end-4m,32,4194304,2.724754,6305.11,4497.739,6945.875,2081098.996,2266688.520,17179869184,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-at-end-4m,64,4194304,5.361302,6408.84,8278.494,26447.606,4119031.161,4501155.825,34359738368,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-at-end-32m,16,33554432,1.769909,4853.32,45322.035,49727.974,1040543.310,1053354.868,8589934592,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-at-end-32m,32,33554432,3.326120,5165.14,77914.127,111409.453,1993094.809,2212272.307,17179869184,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-at-end-32m,64,33554432,5.885191,5838.34,96678.874,203636.163,4008069.851,4632046.128,34359738368,native-s16-rtt700/matrix.csv
