artifact,jobname,write_mibps,runtime_ms,sync_p50_ms,sync_p99_ms,sync_p999_ms
fio/fio-32m-fsync.json,seqwrite-32m-fsync,1997.1962890625,16407,5.341184,5.537792,6.258688
fio/fio-4m-fsync.json,seqwrite-4m-fsync,1327.0693359375,24692,1.712128,2.023424,2.932736
