workload,provider,durability,rtt_us,serial_rtts,concurrency,op_size,seconds,attempts,successes,errors,success_iops,attempt_iops,mbps,durable_mbps,published_mbps,durable_bytes,published_bytes,p50_us,p90_us,p99_us,p999_us,max_us,samples,stream_append_p50_us,stream_append_p90_us,stream_append_p99_us,stream_append_p999_us,stream_append_max_us,stream_append_samples,stream_publish_p50_us,stream_publish_p90_us,stream_publish_p99_us,stream_publish_p999_us,stream_publish_max_us,stream_publish_samples
native-stream-publish-at-end-4m,durable,ack,3600,1,16,4194304,1.960532,2064,2064,0,1052.78,1052.78,4381.43,0.00,4381.43,0,8589934592,6038.198,6163.658,10544.251,1181320.700,1182050.834,2064,6037.769,6157.076,8376.728,10667.929,11130.479,2048,1179256.180,1181397.936,1182050.834,1182050.834,1182050.834,16
native-stream-publish-at-end-4m,durable,ack,3600,1,32,4194304,3.095712,4128,4128,0,1333.46,1333.46,5549.57,0.00,5549.57,0,17179869184,6158.115,6403.685,21300.998,2297675.107,2304625.902,4128,6156.958,6388.314,7924.311,21995.959,22502.204,4096,2292408.968,2299022.735,2304625.902,2304625.902,2304625.902,32
native-stream-publish-at-end-4m,durable,ack,3600,1,64,4194304,5.454389,8256,8256,0,1513.64,1513.64,6299.47,0.00,6299.47,0,34359738368,6803.724,7502.144,33033.156,4518408.204,4583167.690,8256,6800.258,7465.182,9891.741,38183.033,42342.106,8192,4481833.020,4540681.426,4569426.951,4583167.690,4583167.690,64
native-stream-publish-at-end-32m,durable,ack,3600,1,16,33554432,1.822481,272,272,0,149.25,149.25,4713.32,0.00,4713.32,0,8589934592,46703.686,48786.129,1074592.338,1075263.568,1075263.568,272,46626.019,48326.159,49361.693,49958.998,49958.998,256,1073649.480,1075101.024,1075263.568,1075263.568,1075263.568,16
native-stream-publish-at-end-32m,durable,ack,3600,1,32,33554432,3.214859,544,544,0,169.21,169.21,5343.89,0.00,5343.89,0,17179869184,76638.819,96392.234,2009446.498,2069908.981,2071805.686,544,75053.982,93395.397,99478.934,104490.369,105308.389,512,1956238.783,2068019.670,2071805.686,2071805.686,2071805.686,32
native-stream-publish-at-end-32m,durable,ack,3600,1,64,33554432,5.626694,1088,1088,0,193.36,193.36,6106.56,0.00,6106.56,0,34359738368,102189.936,146934.239,4536057.027,4680674.155,4682770.743,1088,99154.164,133793.454,156200.610,218792.221,222448.275,1024,3889423.532,4579307.634,4680674.155,4682770.743,4682770.743,64
native-stream-publish-barrier-at-end-4m,durable,ack,3600,1,16,4194304,1.960847,2064,2064,0,1052.61,1052.61,4380.73,0.00,4380.73,0,8589934592,6354.209,6545.238,8740.169,1138472.894,1138489.764,2064,6353.067,6535.959,8033.446,8796.420,8861.794,2048,1138452.187,1138488.644,1138489.764,1138489.764,1138489.764,16
native-stream-publish-barrier-at-end-4m,durable,ack,3600,1,32,4194304,3.405090,4128,4128,0,1212.30,1212.30,5045.35,0.00,5045.35,0,17179869184,8171.377,9280.060,11789.705,2272365.477,2272378.799,4128,8156.706,9264.812,10696.434,11984.760,12329.481,4096,2201391.428,2272366.831,2272378.799,2272378.799,2272378.799,32
native-stream-publish-barrier-at-end-4m,durable,ack,3600,1,64,4194304,6.066829,8256,8256,0,1360.84,1360.84,5663.54,0.00,5663.54,0,34359738368,10440.381,13041.676,32101.369,4542260.130,4542424.447,8256,10419.450,12964.647,23362.207,39948.454,57131.089,8192,4541837.812,4542325.546,4542392.452,4542424.447,4542424.447,64
native-stream-publish-barrier-at-end-32m,durable,ack,3600,1,16,33554432,1.881620,272,272,0,144.56,144.56,4565.18,0.00,4565.18,0,8589934592,46212.505,48278.161,1139624.864,1139658.584,1139658.584,272,46124.468,47655.501,49805.951,50134.095,50134.095,256,1139617.900,1139635.289,1139658.584,1139658.584,1139658.584,16
