workload,provider,durability,rtt_us,serial_rtts,concurrency,op_size,seconds,attempts,successes,errors,success_iops,attempt_iops,mbps,durable_mbps,published_mbps,durable_bytes,published_bytes,p50_us,p90_us,p99_us,p999_us,max_us,samples,stream_append_p50_us,stream_append_p90_us,stream_append_p99_us,stream_append_p999_us,stream_append_max_us,stream_append_samples,stream_publish_p50_us,stream_publish_p90_us,stream_publish_p99_us,stream_publish_p999_us,stream_publish_max_us,stream_publish_samples
native-stream-publish-at-end-4m,durable,ack,700,1,16,4194304,1.606375,2064,2064,0,1284.88,1284.88,5347.40,0.00,5347.40,0,8589934592,3296.056,3617.908,43168.521,1172857.310,1182490.472,2064,3294.358,3601.062,4820.543,44394.332,46257.181,2048,1169529.163,1179857.166,1182490.472,1182490.472,1182490.472,16
native-stream-publish-at-end-4m,durable,ack,700,1,32,4194304,2.724754,4128,4128,0,1515.00,1515.00,6305.11,0.00,6305.11,0,17179869184,4505.928,5587.328,17203.891,2257210.243,2266688.520,4128,4497.739,5537.572,6945.875,19150.307,20243.167,4096,2081098.996,2259888.732,2266688.520,2266688.520,2266688.520,32
native-stream-publish-at-end-4m,durable,ack,700,1,64,4194304,5.361302,8256,8256,0,1539.92,1539.92,6408.84,0.00,6408.84,0,34359738368,8311.191,11302.523,87174.353,4440299.109,4519795.974,8256,8278.494,11250.763,26447.606,110673.290,209194.948,8192,4119031.161,4449460.337,4501155.825,4519795.974,4519795.974,64
native-stream-publish-at-end-32m,durable,ack,700,1,16,33554432,1.769909,272,272,0,153.68,153.68,4853.32,0.00,4853.32,0,8589934592,45455.366,48446.285,1041431.329,1053354.868,1053354.868,272,45322.035,47953.630,49727.974,51657.782,51657.782,256,1040543.310,1042371.982,1053354.868,1053354.868,1053354.868,16
native-stream-publish-at-end-32m,durable,ack,700,1,32,33554432,3.326120,544,544,0,163.55,163.55,5165.14,0.00,5165.14,0,17179869184,80046.694,96454.316,2143299.210,2212097.396,2212272.307,544,77914.127,93763.633,111409.453,113520.171,114454.038,512,1993094.809,2208066.515,2212272.307,2212272.307,2212272.307,32
native-stream-publish-at-end-32m,durable,ack,700,1,64,33554432,5.885191,1088,1088,0,184.87,184.87,5838.34,0.00,5838.34,0,34359738368,98567.375,178401.686,4508535.464,4632046.128,4634372.278,1088,96678.874,166436.591,203636.163,238347.559,255250.909,1024,4008069.851,4564316.661,4632046.128,4634372.278,4634372.278,64
native-stream-publish-barrier-at-end-4m,durable,ack,700,1,16,4194304,1.626880,2064,2064,0,1268.69,1268.69,5280.01,0.00,5280.01,0,8589934592,3682.682,4203.870,5650.519,1137344.161,1137373.222,2064,3681.351,4166.141,5081.980,5692.640,5927.708,2048,1137337.440,1137362.318,1137373.222,1137373.222,1137373.222,16
native-stream-publish-barrier-at-end-4m,durable,ack,700,1,32,4194304,3.116274,4128,4128,0,1324.66,1324.66,5512.95,0.00,5512.95,0,17179869184,5524.479,7580.542,10893.699,2268512.768,2268546.635,4128,5497.596,7553.160,8493.345,11438.212,12403.527,4096,2268472.836,2268521.959,2268546.635,2268546.635,2268546.635,32
native-stream-publish-barrier-at-end-4m,durable,ack,700,1,64,4194304,5.876339,8256,8256,0,1404.96,1404.96,5847.13,0.00,5847.13,0,34359738368,8477.740,11400.149,40217.260,4580239.158,4580350.720,8256,8452.514,11334.038,20710.664,74794.173,90533.086,8192,4579717.386,4580249.797,4580338.758,4580350.720,4580350.720,64
native-stream-publish-barrier-at-end-32m,durable,ack,700,1,16,33554432,1.860608,272,272,0,146.19,146.19,4616.74,0.00,4616.74,0,8589934592,45016.118,48040.673,1137396.019,1137431.092,1137431.092,272,44831.983,47237.392,48827.280,50474.454,50474.454,256,1137386.739,1137404.742,1137431.092,1137431.092,1137431.092,16
