workload,provider,durability,rtt_us,serial_rtts,concurrency,op_size,seconds,attempts,successes,errors,success_iops,attempt_iops,mbps,durable_mbps,published_mbps,durable_bytes,published_bytes,p50_us,p90_us,p99_us,p999_us,max_us,samples,stream_append_p50_us,stream_append_p90_us,stream_append_p99_us,stream_append_p999_us,stream_append_max_us,stream_append_samples,stream_publish_p50_us,stream_publish_p90_us,stream_publish_p99_us,stream_publish_p999_us,stream_publish_max_us,stream_publish_samples
native-stream-publish-at-end-4m,durable,ack,0,1,16,4194304,1.480608,2064,2064,0,1394.02,1394.02,5801.63,0.00,5801.63,0,8589934592,2533.784,2668.415,39886.208,1149664.391,1149966.669,2064,2532.791,2663.160,4701.153,43959.959,44465.192,2048,1145634.541,1149905.901,1149966.669,1149966.669,1149966.669,16
native-stream-publish-at-end-4m,durable,ack,0,1,32,4194304,2.642639,4128,4128,0,1562.07,1562.07,6501.03,0.00,6501.03,0,17179869184,4127.769,4577.872,16802.661,2260394.444,2296520.325,4128,4123.757,4553.648,6406.985,18813.264,20827.842,4096,2088797.796,2267062.803,2296520.325,2296520.325,2296520.325,32
native-stream-publish-at-end-4m,durable,ack,0,1,64,4194304,5.196720,8256,8256,0,1588.69,1588.69,6611.81,0.00,6611.81,0,34359738368,7493.875,10009.394,56118.991,4536889.691,4593685.911,8256,7444.937,9892.416,15298.880,100868.688,121174.058,8192,4111986.359,4558111.909,4585989.930,4593685.911,4593685.911,64
native-stream-publish-at-end-32m,durable,ack,0,1,16,33554432,1.794278,272,272,0,151.59,151.59,4787.41,0.00,4787.41,0,8589934592,44870.920,48347.978,1071187.226,1095099.939,1095099.939,272,44746.056,47506.999,49494.675,50645.630,50645.630,256,1068921.291,1089469.374,1095099.939,1095099.939,1095099.939,16
native-stream-publish-at-end-32m,durable,ack,0,1,32,33554432,3.296003,544,544,0,165.05,165.05,5212.33,0.00,5212.33,0,17179869184,79838.574,94736.190,2063107.469,2125601.999,2127041.473,544,78678.980,91844.053,109596.491,117140.675,117500.438,512,2029865.256,2110341.274,2127041.473,2127041.473,2127041.473,32
native-stream-publish-at-end-32m,durable,ack,0,1,64,33554432,5.632827,1088,1088,0,193.15,193.15,6099.91,0.00,6099.91,0,34359738368,101413.587,151937.963,4484865.805,4609995.141,4623989.484,1088,99089.073,129037.782,182714.292,229259.786,235455.533,1024,3875696.316,4534798.293,4609995.141,4623989.484,4623989.484,64
native-stream-publish-barrier-at-end-4m,durable,ack,0,1,16,4194304,1.539893,2064,2064,0,1340.35,1340.35,5578.27,0.00,5578.27,0,8589934592,3096.829,3236.344,6236.532,1133607.059,1133608.325,2064,3096.057,3231.157,3873.113,6364.537,6819.274,2048,1133593.783,1133607.493,1133608.325,1133608.325,1133608.325,16
native-stream-publish-barrier-at-end-4m,durable,ack,0,1,32,4194304,3.077234,4128,4128,0,1341.46,1341.46,5582.89,0.00,5582.89,0,17179869184,4986.049,7541.407,10703.675,2267495.006,2267514.665,4128,4980.593,7529.528,8221.601,11460.161,11804.371,4096,2267466.047,2267505.894,2267514.665,2267514.665,2267514.665,32
native-stream-publish-barrier-at-end-4m,durable,ack,0,1,64,4194304,5.680456,8256,8256,0,1453.40,1453.40,6048.76,0.00,6048.76,0,34359738368,7893.873,9857.796,27396.793,4534977.048,4535026.067,8256,7878.665,9784.404,14107.774,38439.761,55835.438,8192,4534905.037,4534981.511,4535017.269,4535026.067,4535026.067,64
native-stream-publish-barrier-at-end-32m,durable,ack,0,1,16,33554432,1.852574,272,272,0,146.82,146.82,4636.76,0.00,4636.76,0,8589934592,44558.693,47054.524,1137725.527,1137752.297,1137752.297,272,44465.870,46717.441,47672.937,48401.127,48401.127,256,1137714.327,1137726.869,1137752.297,1137752.297,1137752.297,16
native-stream-publish-barrier-at-end-32m,durable,ack,0,1,32,33554432,3.582725,544,544,0,151.84,151.84,4795.20,0.00,4795.20,0,17179869184,78767.022,93381.551,2271691.936,2271743.238,2271749.066,544,77469.299,90519.360,96639.064,100542.118,102406.992,512,2271461.069,2271718.714,2271749.066,2271749.066,2271749.066,32
