workload,provider,durability,rtt_us,serial_rtts,concurrency,op_size,seconds,attempts,successes,errors,success_iops,attempt_iops,mbps,durable_mbps,published_mbps,durable_bytes,published_bytes,p50_us,p90_us,p99_us,p999_us,max_us,samples,stream_append_p50_us,stream_append_p90_us,stream_append_p99_us,stream_append_p999_us,stream_append_max_us,stream_append_samples,stream_publish_p50_us,stream_publish_p90_us,stream_publish_p99_us,stream_publish_p999_us,stream_publish_max_us,stream_publish_samples
native-stream-publish-at-end-4m,durable,ack,200,1,16,4194304,1.568363,2064,2064,0,1316.02,1316.02,5477.01,0.00,5477.01,0,8589934592,2758.825,3093.636,8707.356,1202361.921,1205005.813,2064,2756.679,3076.355,5484.097,10906.879,12209.110,2048,1199155.375,1202852.308,1205005.813,1205005.813,1205005.813,16
native-stream-publish-at-end-4m,durable,ack,200,1,32,4194304,2.690369,4128,4128,0,1534.36,1534.36,6385.69,0.00,6385.69,0,17179869184,3102.426,3612.491,17040.511,2282639.993,2286512.217,4128,3100.338,3593.139,5154.745,18688.562,20631.559,4096,2276089.413,2282836.602,2286512.217,2286512.217,2286512.217,32
native-stream-publish-at-end-4m,durable,ack,200,1,64,4194304,5.242719,8256,8256,0,1574.76,1574.76,6553.80,0.00,6553.80,0,34359738368,5715.744,8516.279,38435.620,4531304.723,4546952.002,8256,5701.884,8371.527,13582.911,47857.166,56897.514,8192,4442820.438,4536359.882,4540489.137,4546952.002,4546952.002,64
native-stream-publish-at-end-32m,durable,ack,200,1,16,33554432,1.840621,272,272,0,147.78,147.78,4666.87,0.00,4666.87,0,8589934592,45471.779,48016.838,1114487.950,1139694.024,1139694.024,272,45417.748,47442.228,49263.968,50020.608,50020.608,256,1109255.052,1119522.266,1139694.024,1139694.024,1139694.024,16
native-stream-publish-at-end-32m,durable,ack,200,1,32,33554432,3.318674,544,544,0,163.92,163.92,5176.73,0.00,5176.73,0,17179869184,83962.621,94080.551,2006027.242,2091869.767,2093197.854,544,82966.635,91795.275,96925.554,98695.701,102512.043,512,1980403.437,2087328.891,2093197.854,2093197.854,2093197.854,32
native-stream-publish-at-end-32m,durable,ack,200,1,64,33554432,5.606875,1088,1088,0,194.05,194.05,6128.14,0.00,6128.14,0,34359738368,93474.865,154411.285,4545148.714,4552693.576,4599611.013,1088,88853.218,135729.492,200702.912,256733.770,290258.283,1024,3906839.998,4548677.139,4552693.576,4599611.013,4599611.013,64
native-stream-publish-barrier-at-end-4m,durable,ack,200,1,16,4194304,1.606832,2064,2064,0,1284.51,1284.51,5345.88,0.00,5345.88,0,8589934592,3334.446,3899.671,7055.413,1135634.713,1135644.234,2064,3331.800,3850.715,6067.322,7262.819,7647.102,2048,1135629.921,1135636.633,1135644.234,1135644.234,1135644.234,16
native-stream-publish-barrier-at-end-4m,durable,ack,200,1,32,4194304,3.104896,4128,4128,0,1329.51,1329.51,5533.15,0.00,5533.15,0,17179869184,5240.712,7653.460,12078.911,2268187.926,2268205.316,4128,5225.406,7632.340,8888.352,12871.366,13200.088,4096,2268168.616,2268191.311,2268205.316,2268205.316,2268205.316,32
native-stream-publish-barrier-at-end-4m,durable,ack,200,1,64,4194304,5.890689,8256,8256,0,1401.53,1401.53,5832.89,0.00,5832.89,0,34359738368,8579.622,12103.304,30262.321,4570643.913,4570832.049,8256,8562.135,12033.069,19105.561,38385.498,53990.813,8192,4570317.560,4570700.719,4570806.720,4570832.049,4570832.049,64
native-stream-publish-barrier-at-end-32m,durable,ack,200,1,16,33554432,1.871559,272,272,0,145.33,145.33,4589.72,0.00,4589.72,0,8589934592,45838.697,48700.834,1136536.056,1136552.715,1136552.715,272,45703.011,48020.844,49316.576,50758.458,50758.458,256,1136523.770,1136552.611,1136552.715,1136552.715,1136552.715,16
