workload,provider,durability,rtt_us,serial_rtts,concurrency,op_size,seconds,attempts,successes,errors,success_iops,attempt_iops,mbps,durable_mbps,published_mbps,durable_bytes,published_bytes,p50_us,p90_us,p99_us,p999_us,max_us,samples,stream_append_p50_us,stream_append_p90_us,stream_append_p99_us,stream_append_p999_us,stream_append_max_us,stream_append_samples,stream_publish_p50_us,stream_publish_p90_us,stream_publish_p99_us,stream_publish_p999_us,stream_publish_max_us,stream_publish_samples
native-stream-publish-at-end-4m,durable,ack,0,1,16,4194304,1.517232,2064,2064,0,1360.37,1360.37,5661.58,0.00,5661.58,0,8589934592,2523.040,2662.629,6481.688,1183425.205,1183770.526,2064,2521.351,2655.531,5618.244,9059.949,9538.863,2048,1181387.111,1183503.518,1183770.526,1183770.526,1183770.526,16
native-stream-publish-at-end-4m,durable,ack,0,1,32,4194304,2.656499,4128,4128,0,1553.93,1553.93,6467.11,0.00,6467.11,0,17179869184,2736.216,3128.913,16917.368,2297285.195,2302133.097,4128,2734.344,3101.333,4706.718,18974.073,21093.661,4096,2287424.973,2298025.310,2302133.097,2302133.097,2302133.097,32
native-stream-publish-at-end-4m,durable,ack,0,1,64,4194304,5.147921,8256,8256,0,1603.75,1603.75,6674.49,0.00,6674.49,0,34359738368,7066.750,10419.937,33807.663,4519946.970,4566881.866,8256,7041.913,10202.782,17446.257,43041.909,55551.341,8192,4102571.704,4533231.523,4565255.973,4566881.866,4566881.866,64
native-stream-publish-at-end-32m,durable,ack,0,1,16,33554432,1.801365,272,272,0,151.00,151.00,4768.57,0.00,4768.57,0,8589934592,44753.745,48106.318,1081116.367,1104799.013,1104799.013,272,44625.825,47062.754,48756.003,50039.597,50039.597,256,1080327.382,1099938.507,1104799.013,1104799.013,1104799.013,16
native-stream-publish-at-end-32m,durable,ack,0,1,32,33554432,3.272770,544,544,0,166.22,166.22,5249.34,0.00,5249.34,0,17179869184,77542.537,95503.626,2131091.549,2146967.438,2230420.194,544,76362.100,92182.624,101983.465,106859.286,108245.839,512,1993130.963,2137332.269,2230420.194,2230420.194,2230420.194,32
native-stream-publish-at-end-32m,durable,ack,0,1,64,33554432,5.612010,1088,1088,0,193.87,193.87,6122.54,0.00,6122.54,0,34359738368,96240.988,137551.632,4502402.418,4638433.481,4674796.094,1088,92659.607,123701.797,194162.059,228984.395,265792.756,1024,3902700.847,4555416.748,4638433.481,4674796.094,4674796.094,64
native-stream-publish-barrier-at-end-4m,durable,ack,0,1,16,4194304,1.534105,2064,2064,0,1345.41,1345.41,5599.31,0.00,5599.31,0,8589934592,3020.625,3172.908,6519.983,1135854.961,1135857.549,2064,3019.581,3168.079,4761.443,6693.276,6936.762,2048,1135835.153,1135855.740,1135857.549,1135857.549,1135857.549,16
native-stream-publish-barrier-at-end-4m,durable,ack,0,1,32,4194304,3.079336,4128,4128,0,1340.55,1340.55,5579.08,0.00,5579.08,0,17179869184,4947.240,7499.113,12834.760,2267642.599,2267674.772,4128,4938.178,7479.713,8759.371,13233.948,13849.667,4096,2267623.812,2267643.740,2267674.772,2267674.772,2267674.772,32
native-stream-publish-barrier-at-end-4m,durable,ack,0,1,64,4194304,5.781671,8256,8256,0,1427.96,1427.96,5942.87,0.00,5942.87,0,34359738368,8150.094,10850.040,34005.357,4555545.895,4555676.888,8256,8133.442,10804.576,18338.222,44408.956,65481.911,8192,4555054.966,4555614.048,4555653.127,4555676.888,4555676.888,64
native-stream-publish-barrier-at-end-32m,durable,ack,0,1,16,33554432,1.845192,272,272,0,147.41,147.41,4655.31,0.00,4655.31,0,8589934592,44285.099,47367.000,1134825.663,1134832.132,1134832.132,272,44196.368,46325.162,48342.776,49602.150,49602.150,256,1134813.462,1134831.318,1134832.132,1134832.132,1134832.132,16
native-stream-publish-barrier-at-end-32m,durable,ack,0,1,32,33554432,3.571403,544,544,0,152.32,152.32,4810.40,0.00,4810.40,0,17179869184,76005.322,96089.299,2269508.911,2269531.355,2269538.747,544,73947.433,92287.053,100865.299,110904.389,114575.596,512,2269485.361,2269519.048,2269538.747,2269538.747,2269538.747,32
native-stream-publish-barrier-at-end-32m,durable,ack,0,1,64,33554432,6.388623,1088,1088,0,170.30,170.30,5378.27,0.00,5378.27,0,34359738368,99847.537,149278.169,4538364.370,4538530.588,4538564.509,1088,97867.162,124693.862,197313.146,210771.151,243272.013,1024,4537633.019,4538488.950,4538530.588,4538564.509,4538564.509,64
native-stream-publish-interval-4m,durable,ack,0,1,16,4194304,1.412405,2112,2112,0,1495.32,1495.32,6081.78,0.00,6081.78,0,8589934592,2997.747,3435.903,283711.187,288219.564,340916.633,2112,2989.550,3248.324,5108.613,6397.035,6627.937,2048,282523.321,286314.236,340820.552,340916.633,340916.633,64
native-stream-publish-interval-4m,durable,ack,0,1,32,4194304,2.698589,4224,4224,0,1565.26,1565.26,6366.24,0.00,6366.24,0,17179869184,4748.273,7439.148,545951.024,623652.421,877405.321,4224,4706.804,7348.646,8593.340,11413.792,12213.035,4096,510419.740,602551.596,874743.957,877405.321,877405.321,128
native-stream-publish-interval-4m,durable,ack,0,1,64,4194304,4.985984,8448,8448,0,1694.35,1694.35,6891.27,0.00,6891.27,0,34359738368,4947.130,9907.325,1044911.503,1813996.565,1901673.169,8448,4764.178,9505.454,17914.692,50523.046,63404.361,8192,1009169.355,1668488.357,1861446.223,1901673.169,1901673.169,256
native-stream-publish-interval-32m,durable,ack,0,1,16,33554432,1.768871,320,320,0,180.91,180.91,4856.17,0.00,4856.17,0,8589934592,43849.833,277356.192,304016.603,309211.685,309211.685,320,43351.786,46095.355,48308.165,49457.345,49457.345,256,277520.933,288800.321,307943.993,309211.685,309211.685,64
native-stream-publish-interval-32m,durable,ack,0,1,32,33554432,3.142396,640,640,0,203.67,203.67,5467.12,0.00,5467.12,0,17179869184,73389.137,536585.880,657642.112,685127.278,687277.538,640,68101.363,88751.079,97386.133,99670.074,108479.729,512,536749.768,630599.071,685127.278,687277.538,687277.538,128
native-stream-publish-interval-32m,durable,ack,0,1,64,33554432,5.557008,1280,1280,0,230.34,230.34,6183.14,0.00,6183.14,0,34359738368,78487.718,1048132.800,1198997.292,1216303.009,1216952.160,1280,68860.600,124961.709,167603.542,178878.825,183151.703,1024,1048153.356,1166715.470,1206090.364,1216952.160,1216952.160,256
